set,ranking,feature,score
ORIG,1,total_payments,18.077028
ORIG,2,director_fees,17.934003
ORIG,3,to_messages,12.879507
ORIG,4,from_this_person_to_poi,10.355194
ORIG,5,bonus,10.09309
ORIG,6,deferral_payments,8.12653
ORIG,7,from_messages,7.978345
ORIG,8,other,5.966579
ORIG,9,exercised_stock_options,4.746047
ORIG,10,loan_advances,3.303757
ORIG,11,shared_receipt_with_poi,2.945261
ORIG,12,from_poi_to_this_person,2.477487
ORIG,13,deferred_income,1.755317
ORIG,14,restricted_stock_deferred,1.059088
ORIG,15,salary,0.288022
ORIG,16,expenses,0.138933
ORIG,17,long_term_incentive,0.126823
ORIG,18,poi,0.099707
ORIG,19,restricted_stock,0.074125
ORIGANDNEW,1,deferred_income_squared,NaN
ORIGANDNEW,2,director_fees_log,32.148479
ORIGANDNEW,3,director_fees,31.774223
ORIGANDNEW,4,total_payments,30.402192
ORIGANDNEW,5,total_payments_log,25.390867
ORIGANDNEW,6,bonus,17.05186
ORIGANDNEW,7,to_messages,16.070131
ORIGANDNEW,8,bonus_log,15.074074
ORIGANDNEW,9,loan_advances,12.661763
ORIGANDNEW,10,expenses_squared,11.528612
ORIGANDNEW,11,deferral_payments,11.496054
ORIGANDNEW,12,deferral_payments_log,10.747354
ORIGANDNEW,13,other,10.658566
ORIGANDNEW,14,long_term_incentive_squared,9.260192
ORIGANDNEW,15,restricted_stock_deferred,8.79187
ORIGANDNEW,16,other_squared,8.520231
ORIGANDNEW,17,expenses_log,8.26767
ORIGANDNEW,18,restricted_stock_deferred_log,8.263181
ORIGANDNEW,19,expenses,8.200975
ORIGANDNEW,20,total_poi_message_ratio,7.903683
ORIGANDNEW,21,total_poi_related_messages,7.810419
ORIGANDNEW,22,exercised_stock_options,7.452
ORIGANDNEW,23,bonus_squared,6.366175
ORIGANDNEW,24,total_messages,5.866499
ORIGANDNEW,25,from_this_person_to_poi,5.716628
ORIGANDNEW,26,other_log,5.71037
ORIGANDNEW,27,salary_squared,5.491892
ORIGANDNEW,28,long_term_incentive_log,5.206355
ORIGANDNEW,29,total_stock_value_squared,5.041981
ORIGANDNEW,30,total_payments_squared,4.276947
ORIGANDNEW,31,loan_advances_log,3.713644
ORIGANDNEW,32,restricted_stock_squared,3.685437
ORIGANDNEW,33,from_poi_to_this_person,3.605225
ORIGANDNEW,34,long_term_incentive,2.962785
ORIGANDNEW,35,loan_advances_squared,2.437027
ORIGANDNEW,36,from_messages,2.279673
ORIGANDNEW,37,exercised_stock_options_log,1.666533
ORIGANDNEW,38,director_fees_squared,1.233518
ORIGANDNEW,39,shared_receipt_with_poi,1.167961
ORIGANDNEW,40,deferral_payments_squared,0.989828
ORIGANDNEW,41,deferred_income,0.989111
ORIGANDNEW,42,deferred_income_log,0.910719
ORIGANDNEW,43,salary,0.879357
ORIGANDNEW,44,total_stock_value,0.468749
ORIGANDNEW,45,salary_log,0.30207
ORIGANDNEW,46,restricted_stock_deferred_squared,0.246394
ORIGANDNEW,47,restricted_stock_log,0.131873
ORIGANDNEW,48,exercised_stock_options_squared,0.086089
ORIGANDNEW,49,restricted_stock,0.07243
ORIGANDNEW,50,poi,0.017941
